iter	Passed	Remaining
999	57440	28720
1000	57498	28663
1001	57559	28607
1002	57617	28550
1003	57678	28494
1004	57740	28439
1005	57797	28381
1006	57854	28323
1007	57914	28267
1008	57972	28210
1009	58030	28153
1010	58085	28094
1011	58144	28038
1012	58206	27982
1013	58264	27925
1014	58323	27868
1015	58381	27811
1016	58440	27754
1017	58497	27697
1018	58562	27643
1019	58619	27585
1020	58677	27528
1021	58737	27472
1022	58790	27412
1023	58850	27356
1024	58909	27299
1025	58968	27242
1026	59028	27186
1027	59085	27128
1028	59143	27071
1029	59202	27014
1030	59261	26957
1031	59321	26901
1032	59379	26844
1033	59437	26787
1034	59494	26729
1035	59553	26672
1036	59611	26615
1037	59671	26559
1038	59730	26502
1039	59787	26444
1040	59847	26388
1041	59906	26331
1042	59964	26273
1043	60017	26214
1044	60075	26157
1045	60134	26100
1046	60191	26042
1047	60250	25985
1048	60309	25928
1049	60368	25872
1050	60429	25816
1051	60483	25757
1052	60542	25700
1053	60599	25642
1054	60659	25586
1055	60719	25529
1056	60778	25472
1057	60836	25415
1058	60895	25358
1059	60952	25301
1060	61005	25241
1061	61063	25184
1062	61123	25127
1063	61182	25070
1064	61240	25013
1065	61299	24956
1066	61355	24898
1067	61418	24843
1068	61476	24786
1069	61534	24728
1070	61594	24672
1071	61656	24616
1072	61715	24559
1073	61772	24501
1074	61831	24445
1075	61892	24388
1076	61950	24331
1077	62010	24275
1078	62069	24218
1079	62124	24159
1080	62183	24102
1081	62239	24044
1082	62300	23988
1083	62352	23928
1084	62414	23872
1085	62472	23815
1086	62528	23757
1087	62586	23700
1088	62644	23642
1089	62703	23585
1090	62762	23528
1091	62819	23470
1092	62876	23413
1093	62934	23356
1094	62993	23299
1095	63050	23241
1096	63103	23182
1097	63162	23125
1098	63218	23067
1099	63274	23008
1100	63331	22951
1101	63393	22895
1102	63446	22835
1103	63503	22778
1104	63564	22722
1105	63626	22666
1106	63684	22608
1107	63743	22551
1108	63800	22493
1109	63861	22437
1110	63920	22380
1111	63979	22323
1112	64037	22266
1113	64095	22209
1114	64157	22153
1115	64213	22094
1116	64272	22037
1117	64330	21980
1118	64389	21923
1119	64451	21867
1120	64508	21809
1121	64566	21752
1122	64627	21695
1123	64685	21638
1124	64745	21581
1125	64805	21525
1126	64864	21468
1127	64925	21411
1128	64979	21352
1129	65031	21293
1130	65084	21234
1131	65148	21179
1132	65203	21120
1133	65262	21063
1134	65314	21004
1135	65373	20947
1136	65433	20890
1137	65491	20833
1138	65550	20775
1139	65608	20718
1140	65667	20661
1141	65725	20603
1142	65783	20546
1143	65839	20488
1144	65898	20431
1145	65956	20374
1146	66016	20317
1147	66073	20259
1148	66131	20202
1149	66190	20144
1150	66246	20086
1151	66307	20030
1152	66367	19973
1153	66428	19917
1154	66486	19859
1155	66543	19801
1156	66601	19744
1157	66661	19687
1158	66718	19629
1159	66780	19573
1160	66837	19515
1161	66901	19460
1162	66962	19403
1163	67024	19347
1164	67085	19290
1165	67142	19232
1166	67200	19175
1167	67259	19118
1168	67323	19062
1169	67379	19004
1170	67440	18947
1171	67494	18889
1172	67551	18831
1173	67608	18773
1174	67664	18715
1175	67721	18658
1176	67779	18600
1177	67835	18542
1178	67895	18485
1179	67951	18427
1180	68008	18369
1181	68064	18311
1182	68122	18254
1183	68174	18195
1184	68230	18137
1185	68289	18080
1186	68345	18021
1187	68404	17964
1188	68461	17906
1189	68519	17849
1190	68578	17792
1191	68633	17734
1192	68692	17676
1193	68750	17619
1194	68810	17562
1195	68868	17505
1196	68925	17447
1197	68983	17389
1198	69042	17332
1199	69099	17274
1200	69156	17217
1201	69216	17160
1202	69275	17102
1203	69333	17045
1204	69391	16987
1205	69447	16930
1206	69507	16872
1207	69567	16816
1208	69625	16758
1209	69684	16701
1210	69742	16643
1211	69803	16586
1212	69858	16528
1213	69914	16470
1214	69973	16413
1215	70032	16356
1216	70091	16299
1217	70146	16240
1218	70204	16183
1219	70261	16125
1220	70319	16068
1221	70376	16010
1222	70436	15953
1223	70496	15896
1224	70557	15839
1225	70615	15781
1226	70674	15724
1227	70734	15667
1228	70790	15609
1229	70847	15551
1230	70905	15494
1231	70964	15437
1232	71020	15379
1233	71077	15321
1234	71135	15263
1235	71189	15205
1236	71246	15147
1237	71303	15090
1238	71362	15032
1239	71421	14975
1240	71482	14918
1241	71539	14860
1242	71597	14803
1243	71654	14745
1244	71713	14688
1245	71771	14630
1246	71828	14573
1247	71884	14515
1248	71944	14457
1249	72001	14400
1250	72059	14342
1251	72117	14285
1252	72175	14227
1253	72233	14170
1254	72292	14112
1255	72346	14054
1256	72404	13996
1257	72464	13939
1258	72523	13882
1259	72578	13824
1260	72640	13767
1261	72700	13710
1262	72760	13653
1263	72820	13596
1264	72876	13538
1265	72937	13481
1266	72993	13423
1267	73053	13366
1268	73110	13308
1269	73169	13251
1270	73228	13193
1271	73287	13136
1272	73345	13078
1273	73403	13021
1274	73462	12963
1275	73519	12906
1276	73578	12848
1277	73636	12791
1278	73695	12733
1279	73751	12676
1280	73813	12619
1281	73872	12561
1282	73933	12504
1283	73992	12447
1284	74049	12389
1285	74110	12332
1286	74169	12275
1287	74227	12217
1288	74284	12159
1289	74343	12102
1290	74399	12044
1291	74458	11987
1292	74519	11930
1293	74576	11872
1294	74634	11814
1295	74695	11757
1296	74749	11699
1297	74809	11642
1298	74866	11584
1299	74926	11527
1300	74988	11470
1301	75045	11412
1302	75106	11355
1303	75163	11297
1304	75228	11240
1305	75289	11183
1306	75352	11126
1307	75410	11069
1308	75468	11011
1309	75525	10954
1310	75584	10896
1311	75639	10838
1312	75698	10781
1313	75756	10723
1314	75816	10666
1315	75873	10608
1316	75931	10550
1317	75989	10493
1318	76049	10435
1319	76109	10378
1320	76164	10320
1321	76221	10262
1322	76278	10205
1323	76337	10147
1324	76396	10090
1325	76454	10032
1326	76512	9974
1327	76568	9917
1328	76628	9859
1329	76684	9801
1330	76743	9744
1331	76799	9686
1332	76857	9628
1333	76915	9571
1334	76974	9513
1335	77032	9456
1336	77092	9398
1337	77152	9341
1338	77208	9283
1339	77266	9225
1340	77325	9168
1341	77382	9110
1342	77438	9052
1343	77500	8995
1344	77556	8937
1345	77612	8879
1346	77674	8822
1347	77733	8765
1348	77791	8707
1349	77850	8650
1350	77906	8592
1351	77967	8534
1352	78025	8477
1353	78083	8419
1354	78139	8361
1355	78198	8304
1356	78258	8246
1357	78317	8189
1358	78374	8131
1359	78432	8073
1360	78492	8016
1361	78552	7959
1362	78607	7901
1363	78666	7843
1364	78726	7786
1365	78783	7728
1366	78843	7670
1367	78899	7613
1368	78958	7555
1369	79015	7497
1370	79072	7440
1371	79131	7382
1372	79189	7324
1373	79250	7267
1374	79310	7210
1375	79370	7152
1376	79427	7094
1377	79485	7037
1378	79543	6979
1379	79602	6921
1380	79657	6864
1381	79719	6806
1382	79774	6748
1383	79836	6691
1384	79896	6633
1385	79954	6576
1386	80011	6518
1387	80068	6460
1388	80127	6403
1389	80186	6345
1390	80245	6288
1391	80303	6230
1392	80360	6172
1393	80417	6114
1394	80475	6057
1395	80533	5999
1396	80591	5941
1397	80646	5884
1398	80705	5826
1399	80764	5768
1400	80822	5711
1401	80881	5653
1402	80940	5596
1403	81002	5538
1404	81061	5481
1405	81118	5423
1406	81177	5365
1407	81234	5307
1408	81292	5250
1409	81349	5192
1410	81407	5134
1411	81468	5077
1412	81526	5019
1413	81587	4962
1414	81646	4904
1415	81705	4846
1416	81763	4789
1417	81820	4731
1418	81879	4673
1419	81937	4616
1420	81998	4558
1421	82054	4500
1422	82114	4443
1423	82172	4385
1424	82236	4328
1425	82292	4270
1426	82352	4212
1427	82409	4155
1428	82468	4097
1429	82527	4039
1430	82585	3982
1431	82641	3924
1432	82698	3866
1433	82759	3809
1434	82813	3751
1435	82872	3693
1436	82929	3635
1437	82988	3578
1438	83046	3520
1439	83106	3462
1440	83164	3405
1441	83224	3347
1442	83281	3289
1443	83342	3232
1444	83399	3174
1445	83456	3116
1446	83515	3058
1447	83577	3001
1448	83635	2943
1449	83695	2886
1450	83754	2828
1451	83810	2770
1452	83870	2712
1453	83928	2655
1454	83991	2597
1455	84047	2539
1456	84107	2482
1457	84163	2424
1458	84221	2366
1459	84279	2309
1460	84337	2251
1461	84396	2193
1462	84457	2135
1463	84515	2078
1464	84576	2020
1465	84635	1962
1466	84692	1905
1467	84754	1847
1468	84812	1789
1469	84871	1732
1470	84929	1674
1471	84987	1616
1472	85047	1558
1473	85107	1501
1474	85165	1443
1475	85221	1385
1476	85282	1328
1477	85338	1270
1478	85395	1212
1479	85453	1154
1480	85511	1097
1481	85572	1039
1482	85631	981
1483	85688	923
1484	85747	866
1485	85804	808
1486	85864	750
1487	85924	692
1488	85983	635
1489	86048	577
1490	86118	519
1491	86182	462
1492	86239	404
1493	86296	346
1494	86355	288
1495	86411	231
1496	86468	173
1497	86525	115
1498	86585	57
1499	86644	0
